Nr.  	Status	Compiled instruction                                      	Bytecodes (hex)                                               	Disassembled to                                           
 1108	OK    	SUB16 FG, 0x74D5                                          	03, 05, 05, 74, D5                                            	SUB16 FG, 0x74D5                                          
 1109	OK    	SUB16 NOPQ, 0x3DAA                                        	03, 19, 0D, 3D, AA                                            	SUB16 NOPQ, 0x3DAA                                        
 1110	OK    	SUB16 QRS, (0x7572DA)                                     	03, 13, 10, 75, 72, DA                                        	SUB16 QRS, (0x7572DA)                                     
 1111	OK    	SUB16 STUV, (0x0CC172)                                    	03, 21, 12, 0C, C1, 72                                        	SUB16 STUV, (0x0CC172)                                    
 1112	OK    	SUB16 VW, (DEF)                                           	03, 0B, 15, 03                                                	SUB16 VW, (DEF)                                           
 1113	OK    	SUB16 VWX, 0x2625                                         	03, 0D, 15, 26, 25                                            	SUB16 VWX, 0x2625                                         
 1114	OK    	SUB16 YZAB, (OPQ)                                         	03, 25, 18, 0E                                                	SUB16 YZAB, (OPQ)                                         
 1115	OK    	SUB24 (0x0421C7), 0x0FAD3C                                	03, 2A, 04, 21, C7, 0F, AD, 3C                                	SUB24 (0x0421C7), 0x0FAD3C                                
 1116	OK    	SUB24 (0x3AB4C2), (0x72D3BA)                              	03, 54, 3A, B4, C2, 72, D3, BA                                	SUB24 (0x3AB4C2), (0x72D3BA)                              
 1117	OK    	SUB24 (0x4A3604), XYZ                                     	03, 33, 4A, 36, 04, 17                                        	SUB24 (0x4A3604), XYZ                                     
 1118	OK    	SUB24 (0x672374), R                                       	03, 2E, 67, 23, 74, 11                                        	SUB24 (0x672374), R                                       
 1119	OK    	SUB24 (0x7CC8F9), WX                                      	03, 31, 7C, C8, F9, 16                                        	SUB24 (0x7CC8F9), WX                                      
 1120	OK    	SUB24 (DEF), T                                            	03, 3C, 03, 13                                                	SUB24 (DEF), T                                            
 1121	OK    	SUB24 (IJK), 0x1F4982                                     	03, 38, 08, 1F, 49, 82                                        	SUB24 (IJK), 0x1F4982                                     
 1122	OK    	SUB24 (IJK), BCD                                          	03, 41, 08, 01                                                	SUB24 (IJK), BCD                                          
 1123	OK    	SUB24 (QRS), MN                                           	03, 3F, 10, 0C                                                	SUB24 (QRS), MN                                           
 1124	OK    	SUB24 BCD, (0x0B9F15)                                     	03, 14, 01, 0B, 9F, 15                                        	SUB24 BCD, (0x0B9F15)                                     
 1125	OK    	SUB24 CDEF, (0x2A67DF)                                    	03, 22, 02, 2A, 67, DF                                        	SUB24 CDEF, (0x2A67DF)                                    
 1126	OK    	SUB24 KLMN, (KLM)                                         	03, 26, 0A, 0A                                                	SUB24 KLMN, (KLM)                                         
 1127	OK    	SUB24 RST, (IJK)                                          	03, 17, 11, 08                                                	SUB24 RST, (IJK)                                          
 1128	OK    	SUB24 TUVW, 0x734D8C                                      	03, 1A, 13, 73, 4D, 8C                                        	SUB24 TUVW, 0x734D8C                                      
 1129	OK    	SUB24 VWX, 0x5E7751                                       	03, 0E, 15, 5E, 77, 51                                        	SUB24 VWX, 0x5E7751                                       
 1130	OK    	SUB32 (0x034CD0), M                                       	03, 2F, 03, 4C, D0, 0C                                        	SUB32 (0x034CD0), M                                       
 1131	OK    	SUB32 (0x04FC4C), XY                                      	03, 32, 04, FC, 4C, 17                                        	SUB32 (0x04FC4C), XY                                      
 1132	OK    	SUB32 (0x239CE7), 0x28A3BD12                              	03, 2B, 23, 9C, E7, 28, A3, BD, 12                            	SUB32 (0x239CE7), 0x28A3BD12                              
 1133	OK    	SUB32 (0x372839), VWX                                     	03, 34, 37, 28, 39, 15                                        	SUB32 (0x372839), VWX                                     
 1134	OK    	SUB32 (0x4566A1), (0x2D74ED)                              	03, 55, 45, 66, A1, 2D, 74, ED                                	SUB32 (0x4566A1), (0x2D74ED)                              
 1135	OK    	SUB32 (BCD), STU                                          	03, 42, 01, 12                                                	SUB32 (BCD), STU                                          
 1136	OK    	SUB32 (PQR), CD                                           	03, 40, 0F, 02                                                	SUB32 (PQR), CD                                           
 1137	OK    	SUB32 (RST), S                                            	03, 3D, 11, 12                                                	SUB32 (RST), S                                            
 1138	OK    	SUB32 (VWX), 0x26D49444                                   	03, 39, 15, 26, D4, 94, 44                                    	SUB32 (VWX), 0x26D49444                                   
 1139	OK    	SUB32 ABCD, (0x42760E)                                    	03, 23, 00, 42, 76, 0E                                        	SUB32 ABCD, (0x42760E)                                    
 1140	OK    	SUB32 DEFG, (MNO)                                         	03, 27, 03, 0C                                                	SUB32 DEFG, (MNO)                                         
 1141	OK    	SUB32 OPQR, 0x2E7ECF59                                    	03, 1B, 0E, 2E, 7E, CF, 59                                    	SUB32 OPQR, 0x2E7ECF59                                    
 1142	OK    	TAN F11, F14                                              	68, 1B, 0E                                                    	TAN F11, F14                                              
 1143	OK    	TAN F4                                                    	68, 04                                                        	TAN F4                                                    
 1144	OK    	VCL (0x2B5380)                                            	2B, 80, 2B, 53, 80                                            	VCL (0x2B5380)                                            
 1145	OK    	VCL (YZA)                                                 	2B, D8                                                        	VCL (YZA)                                                 
 1146	OK    	VCL 0x24                                                  	2B, 00, 24                                                    	VCL 0x24                                                  
 1147	OK    	VCL M                                                     	2B, 4C                                                        	VCL M                                                     
 1148	OK    	VDL (0x09BC2C)                                            	2A, 80, 09, BC, 2C                                            	VDL (0x09BC2C)                                            
 1149	OK    	VDL (PQR)                                                 	2A, CF                                                        	VDL (PQR)                                                 
 1150	OK    	VDL 0x7B                                                  	2A, 00, 7B                                                    	VDL 0x7B                                                  
 1151	OK    	VDL O                                                     	2A, 4E                                                        	VDL O                                                     
 1152	OK    	WAIT 0x5E83                                               	29, 00, 5E, 83                                                	WAIT 0x5E83                                               
 1153	OK    	XNOR (0x159108), 0x31                                     	33, 50, 15, 91, 08, 31                                        	XNOR (0x159108), 0x31                                     
 1154	OK    	XNOR (0x37C28F), G                                        	33, 60, 37, C2, 8F, 06                                        	XNOR (0x37C28F), G                                        
 1155	OK    	XNOR (0x4A47A8), WXYZ                                     	33, 6C, 4A, 47, A8, 16                                        	XNOR (0x4A47A8), WXYZ                                     
 1156	OK    	XNOR (0x70E953), LM                                       	33, 64, 70, E9, 53, 0B                                        	XNOR (0x70E953), LM                                       
 1157	OK    	XNOR (0x7B862E), JKL                                      	33, 68, 7B, 86, 2E, 09                                        	XNOR (0x7B862E), JKL                                      
 1158	OK    	XNOR (IJK), L                                             	33, 31, 0B                                                    	XNOR (IJK), L                                             
 1159	OK    	XNOR (IJK), QRST                                          	33, 3D, 10                                                    	XNOR (IJK), QRST                                          
 1160	OK    	XNOR (PQR), 0x00                                          	33, 20, 0F, 00                                                	XNOR (PQR), 0x00                                          
 1161	OK    	XNOR (WXY), DE                                            	33, 36, C3                                                    	XNOR (WXY), DE                                            
 1162	OK    	XNOR (XYZ), STU                                           	33, 3A, F2                                                    	XNOR (XYZ), STU                                           
 1163	OK    	XNOR CDEF, 0x2529EC06                                     	33, 18, 02, 25, 29, EC, 06                                    	XNOR CDEF, 0x2529EC06                                     
