Nr.  	Status	Compiled instruction                                      	Bytecodes (hex)                                               	Disassembled to                                           
-------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------
    1	OK    	ABS F12                                                   	80, 00, 0C                                                    	ABS F12                                                   
    2	OK    	ABS F6, F11                                               	80, 01, 06, 0B                                                	ABS F6, F11                                               
    3	OK    	ADD (0x1896C4), OPQR                                      	02, 35, 18, 96, C4, 0E                                        	ADD (0x1896C4), OPQR                                      
    4	OK    	ADD (0x1FBADF), 0x63                                      	02, 28, 1F, BA, DF, 63                                        	ADD (0x1FBADF), 0x63                                      
    5	OK    	ADD (0x3DEC03), (0x4AB7E6)                                	02, 52, 3D, EC, 03, 4A, B7, E6                                	ADD (0x3DEC03), (0x4AB7E6)                                
    6	OK    	ADD (0x512544), U                                         	02, 2C, 51, 25, 44, 14                                        	ADD (0x512544), U                                         
    7	OK    	ADD (0x6C2BAD), F9                                        	02, 50, 09, 6C, 2B, AD                                        	ADD (0x6C2BAD), F9                                        
    8	OK    	ADD (LMN), Q                                              	02, 3A, 0B, 10                                                	ADD (LMN), Q                                              
    9	OK    	ADD (STU), F10                                            	02, 51, 0A, 12                                                	ADD (STU), F10                                            
   10	OK    	ADD (VWX), 0x45                                           	02, 36, 15, 45                                                	ADD (VWX), 0x45                                           
   11	OK    	ADD (VWX), LMNO                                           	02, 43, 15, 0B                                                	ADD (VWX), LMNO                                           
   12	OK    	ADD ABC, L                                                	02, 0F, 00, 0B                                                	ADD ABC, L                                                
   13	OK    	ADD BCDE, P                                               	02, 1C, 01, 0F                                                	ADD BCDE, P                                               
   14	OK    	ADD C, F2                                                 	02, 4A, 02, 02                                                	ADD C, F2                                                 
   15	OK    	ADD CDEF, GHI                                             	02, 1E, 02, 06                                                	ADD CDEF, GHI                                             
   16	OK    	ADD DEF, 0x37                                             	02, 0C, 03, 37                                                	ADD DEF, 0x37                                             
   17	OK    	ADD E, (0x4D5925)                                         	02, 02, 04, 4D, 59, 25                                        	ADD E, (0x4D5925)                                         
   18	OK    	ADD EF, (0x355A34)                                        	02, 08, 04, 35, 5A, 34                                        	ADD EF, (0x355A34)                                        
   19	OK    	ADD F10, (PQR)                                            	02, 4F, 0A, 0F                                                	ADD F10, (PQR)                                            
   20	OK    	ADD F10, KL                                               	02, 47, 0A, 0A                                                	ADD F10, KL                                               
   21	OK    	ADD F12, X                                                	02, 46, 0C, 17                                                	ADD F12, X                                                
   22	OK    	ADD F14, 0.4521576                                        	02, 45, 0E, 3E, E7, 81, 33                                    	ADD F14, 0.4521576                                        
   23	OK    	ADD F14, YZAB                                             	02, 49, 0E, 18                                                	ADD F14, YZAB                                             
   24	OK    	ADD F6, VWX                                               	02, 48, 06, 15                                                	ADD F6, VWX                                               
   25	OK    	ADD F7, (0x4F0F20)                                        	02, 4E, 07, 4F, 0F, 20                                        	ADD F7, (0x4F0F20)                                        
   26	OK    	ADD F9, F7                                                	02, 44, 09, 07                                                	ADD F9, F7                                                
   27	OK    	ADD GHI, (0x79376A)                                       	02, 12, 06, 79, 37, 6A                                        	ADD GHI, (0x79376A)                                       
   28	OK    	ADD I, 0x4D                                               	02, 00, 08, 4D                                                	ADD I, 0x4D                                               
   29	OK    	ADD IJK, (ABC)                                            	02, 15, 08, 00                                                	ADD IJK, (ABC)                                            
   30	OK    	ADD K, V                                                  	02, 01, 0A, 15                                                	ADD K, V                                                  
   31	OK    	ADD LM, R                                                 	02, 06, 0B, 11                                                	ADD LM, R                                                 
   32	OK    	ADD LMNO, (OPQ)                                           	02, 24, 0B, 0E                                                	ADD LMNO, (OPQ)                                           
   33	OK    	ADD MNOP, EF                                              	02, 1D, 0C, 04                                                	ADD MNOP, EF                                              
   34	OK    	ADD MNOP, KLMN                                            	02, 1F, 0C, 0A                                                	ADD MNOP, KLMN                                            
   35	OK    	ADD QRST, (0x597826)                                      	02, 20, 10, 59, 78, 26                                        	ADD QRST, (0x597826)                                      
   36	OK    	ADD RS, HI                                                	02, 07, 11, 07                                                	ADD RS, HI                                                
   37	OK    	ADD TU, 0x02                                              	02, 04, 13, 02                                                	ADD TU, 0x02                                              
   38	OK    	ADD UV, F14                                               	02, 4B, 14, 0E                                                	ADD UV, F14                                               
   39	OK    	ADD UVWX, 0x09                                            	02, 18, 14, 09                                                	ADD UVWX, 0x09                                            
   40	OK    	ADD UVWX, F13                                             	02, 4D, 14, 0D                                                	ADD UVWX, F13                                             
   41	OK    	ADD VWX, F4                                               	02, 4C, 15, 04                                                	ADD VWX, F4                                               
   42	OK    	ADD VWX, VW                                               	02, 10, 15, 15                                                	ADD VWX, VW                                               
   43	OK    	ADD W, (VWX)                                              	02, 03, 16, 15                                                	ADD W, (VWX)                                              
   44	OK    	ADD XY, (OPQ)                                             	02, 0A, 17, 0E                                                	ADD XY, (OPQ)                                             
   45	OK    	ADD XYZ, JKL                                              	02, 11, 17, 09                                                	ADD XYZ, JKL                                              
   46	OK    	ADD16 (0x059708), (0x3FD49A)                              	02, 53, 05, 97, 08, 3F, D4, 9A                                	ADD16 (0x059708), (0x3FD49A)                              
   47	OK    	ADD16 (0x2DEC3C), QR                                      	02, 30, 2D, EC, 3C, 10                                        	ADD16 (0x2DEC3C), QR                                      
   48	OK    	ADD16 (0x4D4830), 0x1604                                  	02, 29, 4D, 48, 30, 16, 04                                    	ADD16 (0x4D4830), 0x1604                                  
   49	OK    	ADD16 (0x5359A8), S                                       	02, 2D, 53, 59, A8, 12                                        	ADD16 (0x5359A8), S                                       
   50	OK    	ADD16 (HIJ), TU                                           	02, 3E, 07, 13                                                	ADD16 (HIJ), TU                                           
   51	OK    	ADD16 (NOP), 0x6242                                       	02, 37, 0D, 62, 42                                            	ADD16 (NOP), 0x6242                                       
   52	OK    	ADD16 (VWX), L                                            	02, 3B, 15, 0B                                                	ADD16 (VWX), L                                            
   53	OK    	ADD16 AB, (CDE)                                           	02, 0B, 00, 02                                                	ADD16 AB, (CDE)                                           
   54	OK    	ADD16 BCDE, (XYZ)                                         	02, 25, 01, 17                                                	ADD16 BCDE, (XYZ)                                         
   55	OK    	ADD16 FGH, (0x4B7A34)                                     	02, 13, 05, 4B, 7A, 34                                        	ADD16 FGH, (0x4B7A34)                                     
   56	OK    	ADD16 HIJK, 0x5A64                                        	02, 19, 07, 5A, 64                                            	ADD16 HIJK, 0x5A64                                        
   57	OK    	ADD16 IJK, 0x556E                                         	02, 0D, 08, 55, 6E                                            	ADD16 IJK, 0x556E                                         
   58	OK    	ADD16 JKL, (LMN)                                          	02, 16, 09, 0B                                                	ADD16 JKL, (LMN)                                          
   59	OK    	ADD16 NO, (0x0EB0E3)                                      	02, 09, 0D, 0E, B0, E3                                        	ADD16 NO, (0x0EB0E3)                                      
   60	OK    	ADD16 OP, 0x750F                                          	02, 05, 0E, 75, 0F                                            	ADD16 OP, 0x750F                                          
   61	OK    	ADD16 TUVW, (0x3048A6)                                    	02, 21, 13, 30, 48, A6                                        	ADD16 TUVW, (0x3048A6)                                    
   62	OK    	ADD24 (0x067BB2), 0x173ADE                                	02, 2A, 06, 7B, B2, 17, 3A, DE                                	ADD24 (0x067BB2), 0x173ADE                                
   63	OK    	ADD24 (0x16B811), D                                       	02, 2E, 16, B8, 11, 03                                        	ADD24 (0x16B811), D                                       
   64	OK    	ADD24 (0x407CBA), STU                                     	02, 33, 40, 7C, BA, 12                                        	ADD24 (0x407CBA), STU                                     
   65	OK    	ADD24 (0x65D81C), (0x3EEDFB)                              	02, 54, 65, D8, 1C, 3E, ED, FB                                	ADD24 (0x65D81C), (0x3EEDFB)                              
   66	OK    	ADD24 (0x75D9FA), EF                                      	02, 31, 75, D9, FA, 04                                        	ADD24 (0x75D9FA), EF                                      
   67	OK    	ADD24 (FGH), DE                                           	02, 3F, 05, 03                                                	ADD24 (FGH), DE                                           
   68	OK    	ADD24 (MNO), 0x32F765                                     	02, 38, 0C, 32, F7, 65                                        	ADD24 (MNO), 0x32F765                                     
   69	OK    	ADD24 (PQR), ABC                                          	02, 41, 0F, 00                                                	ADD24 (PQR), ABC                                          
   70	OK    	ADD24 (PQR), K                                            	02, 3C, 0F, 0A                                                	ADD24 (PQR), K                                            
   71	OK    	ADD24 ABCD, (VWX)                                         	02, 26, 00, 15                                                	ADD24 ABCD, (VWX)                                         
   72	OK    	ADD24 FGH, (0x143B7A)                                     	02, 14, 05, 14, 3B, 7A                                        	ADD24 FGH, (0x143B7A)                                     
   73	OK    	ADD24 LMN, (OPQ)                                          	02, 17, 0B, 0E                                                	ADD24 LMN, (OPQ)                                          
   74	OK    	ADD24 QRST, 0x7C2FB0                                      	02, 1A, 10, 7C, 2F, B0                                        	ADD24 QRST, 0x7C2FB0                                      
   75	OK    	ADD24 TUVW, (0x7279AE)                                    	02, 22, 13, 72, 79, AE                                        	ADD24 TUVW, (0x7279AE)                                    
   76	OK    	ADD24 WXY, 0x5853AC                                       	02, 0E, 16, 58, 53, AC                                        	ADD24 WXY, 0x5853AC                                       
   77	OK    	ADD32 (0x3175CB), (0x39DCE1)                              	02, 55, 31, 75, CB, 39, DC, E1                                	ADD32 (0x3175CB), (0x39DCE1)                              
   78	OK    	ADD32 (0x33BF14), A                                       	02, 2F, 33, BF, 14, 00                                        	ADD32 (0x33BF14), A                                       
   79	OK    	ADD32 (0x50DBB7), 0x332892FB                              	02, 2B, 50, DB, B7, 33, 28, 92, FB                            	ADD32 (0x50DBB7), 0x332892FB                              
   80	OK    	ADD32 (0x58B735), UV                                      	02, 32, 58, B7, 35, 14                                        	ADD32 (0x58B735), UV                                      
   81	OK    	ADD32 (0x60084B), IJK                                     	02, 34, 60, 08, 4B, 08                                        	ADD32 (0x60084B), IJK                                     
   82	OK    	ADD32 (ABC), YZ                                           	02, 40, 00, 18                                                	ADD32 (ABC), YZ                                           
   83	OK    	ADD32 (FGH), 0x3E500BCA                                   	02, 39, 05, 3E, 50, 0B, CA                                    	ADD32 (FGH), 0x3E500BCA                                   
   84	OK    	ADD32 (UVW), VWX                                          	02, 42, 14, 15                                                	ADD32 (UVW), VWX                                          
   85	OK    	ADD32 (VWX), H                                            	02, 3D, 15, 07                                                	ADD32 (VWX), H                                            
   86	OK    	ADD32 CDEF, (KLM)                                         	02, 27, 02, 0A                                                	ADD32 CDEF, (KLM)                                         
   87	OK    	ADD32 MNOP, (0x22266E)                                    	02, 23, 0C, 22, 26, 6E                                        	ADD32 MNOP, (0x22266E)                                    
   88	OK    	ADD32 RSTU, 0x14899F4E                                    	02, 1B, 11, 14, 89, 9F, 4E                                    	ADD32 RSTU, 0x14899F4E                                    
   89	OK    	AND (0x06CC4F), Y                                         	0D, 18, 06, CC, 4F, 18                                        	AND (0x06CC4F), Y                                         
   90	OK    	AND (0x0CA734), 0x14                                      	0D, 14, 0C, A7, 34, 14                                        	AND (0x0CA734), 0x14                                      
   91	OK    	AND (0x0E3098), TUV                                       	0D, 1A, 0E, 30, 98, 13                                        	AND (0x0E3098), TUV                                       
   92	OK    	AND (0x31F047), TU                                        	0D, 19, 31, F0, 47, 13                                        	AND (0x31F047), TU                                        
   93	OK    	AND (0x70C8FC), ABCD                                      	0D, 1B, 70, C8, FC, 00                                        	AND (0x70C8FC), ABCD                                      
   94	OK    	AND (DEF), I                                              	0D, 0C, 03, 08                                                	AND (DEF), I                                              
   95	OK    	AND (FGH), FG                                             	0D, 0D, 05, 05                                                	AND (FGH), FG                                             
   96	OK    	AND (HIJ), FGHI                                           	0D, 0F, 07, 05                                                	AND (HIJ), FGHI                                           
   97	OK    	AND (LMN), 0x26                                           	0D, 08, 0B, 26                                                	AND (LMN), 0x26                                           
   98	OK    	AND (STU), ABC                                            	0D, 0E, 12, 00                                                	AND (STU), ABC                                            
   99	OK    	AND A, (0x70DAB3)                                         	0D, 1C, 00, 70, DA, B3                                        	AND A, (0x70DAB3)                                         
  100	OK    	AND BC, NO                                                	0D, 03, 01, 0D                                                	AND BC, NO                                                
  101	OK    	AND CD, 0x082C                                            	0D, 02, 02, 08, 2C                                            	AND CD, 0x082C                                            
  102	OK    	AND D, 0x57                                               	0D, 00, 03, 57                                                	AND D, 0x57                                               
  103	OK    	AND EFG, (HIJ)                                            	0D, 12, 04, 07                                                	AND EFG, (HIJ)                                            
  104	OK    	AND EFGH, ABCD                                            	0D, 07, 04, 00                                                	AND EFGH, ABCD                                            
  105	OK    	AND FGH, RST                                              	0D, 05, 05, 11                                                	AND FGH, RST                                              
  106	OK    	AND FGHI, 0x0AE1C0D1                                      	0D, 06, 05, 0A, E1, C0, D1                                    	AND FGHI, 0x0AE1C0D1                                      
  107	OK    	AND MNOP, (QRS)                                           	0D, 13, 0C, 10                                                	AND MNOP, (QRS)                                           
  108	OK    	AND OPQR, (0x77C5B3)                                      	0D, 1F, 0E, 77, C5, B3                                        	AND OPQR, (0x77C5B3)                                      
  109	OK    	AND QR, (ABC)                                             	0D, 11, 10, 00                                                	AND QR, (ABC)                                             
  110	OK    	AND QRS, (0x0545E1)                                       	0D, 1E, 10, 05, 45, E1                                        	AND QRS, (0x0545E1)                                       
  111	OK    	AND R, H                                                  	0D, 01, 11, 07                                                	AND R, H                                                  
  112	OK    	AND RS, (0x4D8331)                                        	0D, 1D, 11, 4D, 83, 31                                        	AND RS, (0x4D8331)                                        
  113	OK    	AND RST, 0x30C6B5                                         	0D, 04, 11, 30, C6, B5                                        	AND RST, 0x30C6B5                                         
  114	OK    	AND X, (NOP)                                              	0D, 10, 17, 0D                                                	AND X, (NOP)                                              
  115	OK    	AND16 (0x327B92), 0x345B                                  	0D, 15, 32, 7B, 92, 34, 5B                                    	AND16 (0x327B92), 0x345B                                  
  116	OK    	AND16 (NOP), 0x6623                                       	0D, 09, 0D, 66, 23                                            	AND16 (NOP), 0x6623                                       
  117	OK    	AND24 (0x1BF152), 0x094BDD                                	0D, 16, 1B, F1, 52, 09, 4B, DD                                	AND24 (0x1BF152), 0x094BDD                                
  118	OK    	AND24 (LMN), 0x6D22B5                                     	0D, 0A, 0B, 6D, 22, B5                                        	AND24 (LMN), 0x6D22B5                                     
  119	OK    	AND32 (0x5839D1), 0x3919DC3C                              	0D, 17, 58, 39, D1, 39, 19, DC, 3C                            	AND32 (0x5839D1), 0x3919DC3C                              
  120	OK    	AND32 (YZA), 0x26C75FFF                                   	0D, 0B, 18, 26, C7, 5F, FF                                    	AND32 (YZA), 0x26C75FFF                                   
  121	OK    	BIT CDE, 0x01                                             	0C, 10, 41                                                    	BIT CDE, 0x01                                             
  122	OK    	BIT D, P                                                  	0C, 04, 6F                                                    	BIT D, P                                                  
  123	OK    	BIT HIJ, C                                                	0C, 14, E2                                                    	BIT HIJ, C                                                
  124	OK    	BIT PQ, 0x09                                              	0C, 09, E9                                                    	BIT PQ, 0x09                                              
  125	OK    	BIT RS, C                                                 	0C, 0E, 22                                                    	BIT RS, C                                                 
  126	OK    	BIT S, 0x03                                               	0C, 02, 43                                                    	BIT S, 0x03                                               
  127	OK    	BIT TUVW, 0x01                                            	0C, 1A, 61                                                    	BIT TUVW, 0x01                                            
  128	OK    	BIT YZAB, K                                               	0C, 1F, 0A                                                    	BIT YZAB, K                                               
  129	OK    	BREAK                                                     	FD                                                            	BREAK                                                     
  130	OK    	CALL 0x185084                                             	15, 00, 18, 50, 84                                            	CALL 0x185084                                             
  131	OK    	CALL EQ, 0x4E5669                                         	15, 2D, 4E, 56, 69                                            	CALL EQ, 0x4E5669                                         
  132	OK    	CALL IJK                                                  	15, 48                                                        	CALL IJK                                                  
  133	OK    	CALL SN, EFG                                              	15, 6A, 04                                                    	CALL SN, EFG                                              
  134	OK    	CALLR 0x4B9C9E                                            	16, 00, 4B, 9C, 9E                                            	CALLR 0x4B9C9E                                            
  135	OK    	CALLR LT, 0x1120A6                                        	16, 2F, 11, 20, A6                                            	CALLR LT, 0x1120A6                                        
  136	OK    	CBR (0x540C1E)                                            	62, 18, 54, 0C, 1E                                            	CBR (0x540C1E)                                            
  137	OK    	CBR (0x6702C8), F13                                       	62, 50, 0D, 67, 02, C8                                        	CBR (0x6702C8), F13                                       
  138	OK    	CBR (KLM)                                                 	62, 14, 0A                                                    	CBR (KLM)                                                 
  139	OK    	CBR (MNO), F6                                             	62, 4C, C6                                                    	CBR (MNO), F6                                             
  140	OK    	CBR AB                                                    	62, 08, 00                                                    	CBR AB                                                    
  141	OK    	CBR F1, MN                                                	62, 24, C1                                                    	CBR F1, MN                                                
  142	OK    	CBR F10, 0.256433                                         	62, 38, 0A, 3E, 83, 4B, 30                                    	CBR F10, 0.256433                                         
  143	OK    	CBR F10, BCD                                              	62, 28, 1A                                                    	CBR F10, BCD                                              
  144	OK    	CBR F11, (CDE)                                            	62, 30, 2B                                                    	CBR F11, (CDE)                                            
  145	OK    	CBR F13, F14                                              	62, 1C, DE                                                    	CBR F13, F14                                              
  146	OK    	CBR F14                                                   	62, 00, 0E                                                    	CBR F14                                                   
  147	OK    	CBR F3, LMNO                                              	62, 2C, B3                                                    	CBR F3, LMNO                                              
  148	OK    	CBR F5, W                                                 	62, 21, 65                                                    	CBR F5, W                                                 
  149	OK    	CBR F6, (0x7C9E19)                                        	62, 34, 06, 7C, 9E, 19                                        	CBR F6, (0x7C9E19)                                        
  150	OK    	CBR G, F2                                                 	62, 3C, 62                                                    	CBR G, F2                                                 
  151	OK    	CBR IJKL, F2                                              	62, 48, 82                                                    	CBR IJKL, F2                                              
  152	OK    	CBR KLM, F6                                               	62, 44, A6                                                    	CBR KLM, F6                                               
  153	OK    	CBR N                                                     	62, 04, 0D                                                    	CBR N                                                     
  154	OK    	CBR OPQR                                                  	62, 10, 0E                                                    	CBR OPQR                                                  
  155	OK    	CBR UVW                                                   	62, 0C, 14                                                    	CBR UVW                                                   
  156	OK    	CBR VW, F5                                                	62, 41, 55                                                    	CBR VW, F5                                                
  157	OK    	CEIL F13, F10                                             	83, 01, 0D, 0A                                                	CEIL F13, F10                                             
  158	OK    	CEIL F6                                                   	83, 00, 06                                                    	CEIL F6                                                   
  159	OK    	COS F10, F9                                               	67, 1A, 09                                                    	COS F10, F9                                               
  160	OK    	COS F2                                                    	67, 02                                                        	COS F2                                                    
  161	OK    	CP (0x227E9E), F11                                        	12, 68, 0B, 22, 7E, 9E                                        	CP (0x227E9E), F11                                        
  162	OK    	CP (IJK), F12                                             	12, 6F, 08                                                    	CP (IJK), F12                                             
  163	OK    	CP (YZA), (XYZ)                                           	12, 33, 17                                                    	CP (YZA), (XYZ)                                           
  164	OK    	CP (YZA), 0x54                                            	12, 34, 18, 54                                                	CP (YZA), 0x54                                            
  165	OK    	CP AB, VW                                                 	12, 0C, 15                                                    	CP AB, VW                                                 
  166	OK    	CP DEFG, 0x21BE5AC9                                       	12, 18, 03, 21, BE, 5A, C9                                    	CP DEFG, 0x21BE5AC9                                       
  167	OK    	CP F0, RSTU                                               	12, 4C, 00, 11                                                	CP F0, RSTU                                               
  168	OK    	CP F12, F8                                                	12, 38, C8                                                    	CP F12, F8                                                
  169	OK    	CP F13, (0x26034C)                                        	12, 60, 0D, 26, 03, 4C                                        	CP F13, (0x26034C)                                        
  170	OK    	CP F14, 0.7699819                                         	12, 3C, 0E, 3F, 45, 1D, 89                                    	CP F14, 0.7699819                                         
  171	OK    	CP F3, (QRS)                                              	12, 64, D0                                                    	CP F3, (QRS)                                              
  172	OK    	CP F5, CD                                                 	12, 44, 05, 02                                                	CP F5, CD                                                 
  173	OK    	CP F7, D                                                  	12, 40, 07, 03                                                	CP F7, D                                                  
  174	OK    	CP F8, PQR                                                	12, 48, 08, 0F                                                	CP F8, PQR                                                
  175	OK    	CP GHI, 0x21ED6C                                          	12, 10, 06, 21, ED, 6C                                        	CP GHI, 0x21ED6C                                          
  176	OK    	CP H, F6                                                  	12, 50, 07, 06                                                	CP H, F6                                                  
  177	OK    	CP JK, 0x4D71                                             	12, 08, 09, 4D, 71                                            	CP JK, 0x4D71                                             
  178	OK    	CP JKLM, (BCD)                                            	12, 2D, 21                                                    	CP JKLM, (BCD)                                            
  179	OK    	CP LMN, STU                                               	12, 15, 72                                                    	CP LMN, STU                                               
  180	OK    	CP LMNO, F3                                               	12, 5C, 0B, 03                                                	CP LMNO, F3                                               
  181	OK    	CP NOP, (GHI)                                             	12, 29, A6                                                    	CP NOP, (GHI)                                             
  182	OK    	CP O, (MNO)                                               	12, 21, CC                                                    	CP O, (MNO)                                               
  183	OK    	CP PQ, F10                                                	12, 54, 0F, 0A                                                	CP PQ, F10                                                
  184	OK    	CP QR, (QRS)                                              	12, 26, 10                                                    	CP QR, (QRS)                                              
  185	OK    	CP TUV, F1                                                	12, 58, 13, 01                                                	CP TUV, F1                                                
  186	OK    	CP U, B                                                   	12, 06, 81                                                    	CP U, B                                                   
  187	OK    	CP VWXY, QRST                                             	12, 1E, B0                                                    	CP VWXY, QRST                                             
  188	OK    	CP W, 0x08                                                	12, 00, 16, 08                                                	CP W, 0x08                                                
  189	OK    	DEBUG                                                     	FC                                                            	DEBUG                                                     
  190	OK    	DEC (0x2BE4BF)                                            	14, 08, 2B, E4, BF                                            	DEC (0x2BE4BF)                                            
  191	OK    	DEC (QRS)                                                 	14, 04, 10                                                    	DEC (QRS)                                                 
  192	OK    	DEC H                                                     	14, 00, 07                                                    	DEC H                                                     
  193	OK    	DEC PQRS                                                  	14, 03, 0F                                                    	DEC PQRS                                                  
  194	OK    	DEC ST                                                    	14, 01, 12                                                    	DEC ST                                                    
  195	OK    	DEC TUV                                                   	14, 02, 13                                                    	DEC TUV                                                   
  196	OK    	DEC16 (0x348F84)                                          	14, 09, 34, 8F, 84                                            	DEC16 (0x348F84)                                          
  197	OK    	DEC16 (TUV)                                               	14, 05, 13                                                    	DEC16 (TUV)                                               
  198	OK    	DEC24 (0x3719E4)                                          	14, 0A, 37, 19, E4                                            	DEC24 (0x3719E4)                                          
  199	OK    	DEC24 (UVW)                                               	14, 06, 14                                                    	DEC24 (UVW)                                               
  200	OK    	DEC32 (0x6AC365)                                          	14, 0B, 6A, C3, 65                                            	DEC32 (0x6AC365)                                          
  201	OK    	DEC32 (DEF)                                               	14, 07, 03                                                    	DEC32 (DEF)                                               
  202	OK    	DIV (0x6A05DB), F2                                        	04, A0, 02, 6A, 05, DB                                        	DIV (0x6A05DB), F2                                        
  203	OK    	DIV (CDE), F11                                            	04, A6, C2                                                    	DIV (CDE), F11                                            
  204	OK    	DIV ABC, TU                                               	04, 1C, 13                                                    	DIV ABC, TU                                               
  205	OK    	DIV BCDE, 0x2902, XY                                      	04, 5C, 37, 29, 02                                            	DIV BCDE, 0x2902, XY                                      
  206	OK    	DIV BCDE, ST                                              	04, 2C, 32                                                    	DIV BCDE, ST                                              
  207	OK    	DIV BCDE, STU, NOP                                        	04, 68, 32, 0D                                                	DIV BCDE, STU, NOP                                        
  208	OK    	DIV DE, 0x33B7, KL                                        	04, 40, 6A, 33, B7                                            	DIV DE, 0x33B7, KL                                        
  209	OK    	DIV DEFG, GHI                                             	04, 30, 66                                                    	DIV DEFG, GHI                                             
  210	OK    	DIV E, 0x65, U                                            	04, 38, 94, 65                                                	DIV E, 0x65, U                                            
  211	OK    	DIV F0, VWXY                                              	04, 84, 00, 15                                                	DIV F0, VWXY                                              
  212	OK    	DIV F1, (QRS)                                             	04, 9C, 50                                                    	DIV F1, (QRS)                                             
  213	OK    	DIV F11, QR                                               	04, 7C, 0B, 10                                                	DIV F11, QR                                               
  214	OK    	DIV F14, 0.8272287                                        	04, 74, 0E, 3F, 53, C5, 43                                    	DIV F14, 0.8272287                                        
  215	OK    	DIV F3, KLM                                               	04, 80, 03, 0A                                                	DIV F3, KLM                                               
  216	OK    	DIV F4, Q                                                 	04, 78, 04, 10                                                	DIV F4, Q                                                 
  217	OK    	DIV F5, F1                                                	04, 70, 51                                                    	DIV F5, F1                                                
  218	OK    	DIV F6, (0x00BE8A)                                        	04, 98, 06, 00, BE, 8A                                        	DIV F6, (0x00BE8A)                                        
  219	OK    	DIV FG, 0x0970                                            	04, 08, A9, 70                                                	DIV FG, 0x0970                                            
  220	OK    	DIV FGH, FGH, ABC                                         	04, 58, A5, 00                                                	DIV FGH, FGH, ABC                                         
  221	OK    	DIV G, O, L                                               	04, 3C, CE, 0B                                                	DIV G, O, L                                               
  222	OK    	DIV GHI, 0x0242                                           	04, 14, C2, 42                                                	DIV GHI, 0x0242                                           
  223	OK    	DIV HIJK, A                                               	04, 28, E0                                                    	DIV HIJK, A                                               
  224	OK    	DIV HIJK, F12                                             	04, 94, 07, 0C                                                	DIV HIJK, F12                                             
  225	OK    	DIV HIJK, G, B                                            	04, 60, E6, 01                                                	DIV HIJK, G, B                                            
  226	OK    	DIV LMN, N                                                	04, 19, 6D                                                    	DIV LMN, N                                                
  227	OK    	DIV MN, L, F                                              	04, 45, 8B, 05                                                	DIV MN, L, F                                              
  228	OK    	DIV MNOP, EFGH, NOPQ                                      	04, 6D, 84, 0D                                                	DIV MNOP, EFGH, NOPQ                                      
  229	OK    	DIV N, W                                                  	04, 05, B6                                                    	DIV N, W                                                  
  230	OK    	DIV NO, OP                                                	04, 11, AE                                                    	DIV NO, OP                                                
